predictor,mean_AIC,sd_AIC,min_AIC,max_AIC,med_AIC
bio15a,0.6831814610008456,0.32553681227893827,0.126654792755069,1,0.783775617862399
bio4a,0.9016604827226822,0.23050844923723915,0.163417792477496,1,1
lc_01,0.7816982398187808,0.2076427072416071,0.177822191577255,1,0.859033513887202
lc_02,0.7118366651795505,0.20661809898059533,0.264797631482909,1,0.7563395753622505
lc_03,0.5998347155197267,0.2469707717204546,0.163076895161677,1,0.615133154223344
lc_04,0.672606795279627,0.2070545129341075,0.184190598299305,1,0.709364973509324
lc_05,0.6713103508570474,0.2345687068893866,0.221507676690447,1,0.657098280657699
lc_07,0.7337196646438889,0.21918082443181228,0.225969016910325,1,0.7738886353088774
lc_09,0.5396072370105586,0.23308769092796328,0.146111827744087,1,0.525447019098178
