scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Pericrocotus cinnamomeus,lc_07,-2.16611900618942,0.855830506307172,Passeriformes,Small Minivet,smamin1,OC,Forest,forested areas and woodland habitats,22.4781892,8.6,0.934498451,Carnivore,Invertivore,Not a Migrant,2,resident,invertebrates
Upupa epops,bio4a,2.16482134380515,0.52428191838126,Bucerotiformes,Eurasian Hoopoe,hoopoe,OC,Generalist,Open habitats,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Upupa epops,lc_07,2.27005526618982,0.714454637204793,Bucerotiformes,Eurasian Hoopoe,hoopoe,OC,Generalist,Open habitats,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius schach,bio4a,10.0818500136054,1.79914826083993,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Lanius schach,lc_04,-4.13977070133122,1.82356732994693,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Lanius schach,lc_07,8.14021700216884,2.18994586064654,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Psittacula columboides,bio4a,-2.93591819741698,0.494875032173802,Psittaciformes,Malabar Parakeet,malpar1,FOR,Forest,forest bird,46.59881239,85.5,1.939469331,Herbivore,Omnivore,Nomadic,1,resident,omnivore
Psittacula columboides,lc_09,5.94239513135866,2.24949549217251,Psittaciformes,Malabar Parakeet,malpar1,FOR,Forest,forest bird,46.59881239,85.5,1.939469331,Herbivore,Omnivore,Nomadic,1,resident,omnivore
Gracula indica,bio15a,6.47315073215554,0.757384188639288,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
Gracula indica,bio4a,-8.06037516182985,0.780583966033622,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
