sampling_event_identifier,nSp,totSoiSeen
S35493548,6,6
S35061722,7,7
S35196788,8,8
S35508689,8,8
S35641858,6,6
S35196835,5,5
S35100525,7,7
S53466131,7,7
S34998284,7,7
S34971526,7,7
S35461887,6,6
S35169366,22,22
S35508679,6,6
S35036851,3,3
S35000114,5,5
S35246220,10,10
S34971515,10,10
S34972095,7,7
S34999271,6,6
S35036210,3,3
S37369760,8,8
S35494255,8,8
S35100526,8,8
S35038378,7,7
S37369720,9,9
S35151272,5,5
S35078293,7,7
S35036914,5,5
S35270726,9,9
S37369753,10,10
S35036886,11,11
S34999120,6,6
S35491152,8,8
S35019722,11,11
S35038274,5,5
S37369759,7,7
S35038291,8,8
S35770562,2,2
S35411866,7,7
S35038402,5,5
S35019271,5,5
S37369735,5,5
S35000085,8,8
S35491686,8,8
S35196766,10,10
S35246210,10,10
S54478596,6,6
S35526343,6,6
S35038249,5,5
S35491728,9,9
S35001249,5,5
S34948282,9,9
S35020538,9,9
S35020520,7,7
S57525918,5,5
S35038348,9,9
S35036212,5,5
S35506199,9,9
S35038352,7,7
S35019969,5,5
S35038350,5,5
S35001571,9,9
S35020522,5,5
S35000204,7,7
S35036852,5,5
S35040175,9,9
S53465962,9,9
S35038298,7,7
S35001594,5,5
S35020575,5,5
S35001633,7,7
S35038329,5,5
S34971574,3,3
S35411876,6,6
S35411896,9,9
S34998275,8,8
S35508673,7,7
S35000151,6,6
S34998328,9,9
S35020525,4,4
S35038296,6,6
S35491679,7,7
S35365635,6,6
S35411799,13,13
S35151135,10,10
S35411843,3,3
S35038370,8,8
S35038395,8,8
S34972117,8,8
S35058206,8,8
S35038382,13,13
S34972583,12,12
S35196174,14,14
S34971510,6,6
S34971571,8,8
S34972082,13,13
S35411813,9,9
S35461942,10,10
S37369751,14,14
S35196546,4,4
S34998294,9,9
S34998318,6,6
S35148165,4,4
S35038343,4,4
S35494277,7,7
S35058313,9,9
S35038409,6,6
S35169421,4,4
S35411779,8,8
S34971708,9,9
S35001469,4,4
S35038387,9,9
S53466106,6,6
S35246212,10,10
S35641876,7,7
S37369734,10,10
S35494344,11,11
S35038418,9,9
S34998302,3,3
S35411844,8,8
S35038394,3,3
S35056173,8,8
S35100483,14,14
S34998288,13,13
S35515447,2,2
S35491130,7,7
S35038289,9,9
S35641935,4,4
S34971449,9,9
S34999916,9,9
S35020537,12,12
S35492982,7,7
S35001582,12,12
S35270720,9,9
S35001438,4,4
S35494286,7,7
S35038342,4,4
S35270718,8,8
S35508682,7,7
S35226924,9,9
S35526238,8,8
S37369721,9,9
S35641863,7,7
S35127164,9,9
S35461902,8,8
S37369725,8,8
S35196767,9,9
S35020527,4,4
S35270832,8,8
S35038349,12,12
S35461905,9,9
S34992892,12,12
S35493565,7,7
S35270829,9,9
S37369741,9,9
S35078287,9,9
S35246214,10,10
S37369748,8,8
S35020591,4,4
S34998320,5,5
S54478629,5,5
S37369746,7,7
S35323272,3,3
S35038372,8,8
S35512073,10,10
S35026379,10,10
S37369736,10,10
S53742281,9,9
S34972114,8,8
S34998321,3,3
S35001383,2,2
S35038410,5,5
S35038423,8,8
S53742289,10,10
S35061806,10,10
S34999148,5,5
S35019522,5,5
S34998279,8,8
S35038341,5,5
S35411879,5,5
S35122914,8,8
S35461939,8,8
S35411881,3,3
S35038322,4,4
S53466083,3,3
S35001399,5,5
S35323273,5,5
S35061621,7,7
S37369733,9,9
S35196775,8,8
S35190549,8,8
S35019365,10,10
S37230814,10,10
S35078301,7,7
S36325972,6,6
S35512139,5,5
S35036206,4,4
S34976279,8,8
S35411784,8,8
S35461945,9,9
S35461933,6,6
S36325974,8,8
S35038412,3,3
S34999269,5,5
S35038292,4,4
S37230841,5,5
S37369769,7,7
S35078279,6,6
S35061756,9,9
S35770537,5,5
S35061845,6,6
S35208517,8,8
S35019683,10,10
S35020528,5,5
S35226909,7,7
S35038278,4,4
S35038313,10,10
S35127174,7,7
S35227511,8,8
S35208883,6,6
S35246222,8,8
S37231322,5,5
S35058194,7,7
S35226921,5,5
S35078310,11,11
S37369737,8,8
S34999994,4,4
S35056151,7,7
S35078284,10,10
S35001148,4,4
S35227514,6,6
S35036920,4,4
S35020532,2,2
S35151156,10,10
S35462036,10,10
S34971494,5,5
S35026384,5,5
S34971488,3,3
S35019012,4,4
S53466095,5,5
S37369726,6,6
S35208887,8,8
S35038340,2,2
S35061090,11,11
S35208521,6,6
S35058267,7,7
S35151140,9,9
S35246213,9,9
S35147318,7,7
S35190543,6,6
S35038300,5,5
S35151223,7,7
S35038422,8,8
S34998306,4,4
S35078296,4,4
S34998335,8,8
S37369738,7,7
S35411905,8,8
S35411849,4,4
S35038399,4,4
S34971560,4,4
S35196830,7,7
S35061688,4,4
S34971382,8,8
S35462057,7,7
S35020533,3,3
S35078280,11,11
S35100403,4,4
S35061834,11,11
S53742292,8,8
S37369757,4,4
S35061817,8,8
S35196204,4,4
S35001453,3,3
S35038344,3,3
S35078282,8,8
S35001118,4,4
S35020461,4,4
S35001770,4,4
S35019743,5,5
S35056166,7,7
S35058201,7,7
S35038321,4,4
S53465918,4,4
S35038258,5,5
S35018639,4,4
S35000952,4,4
S35036875,5,5
S35036219,5,5
S35038359,4,4
S35058301,7,7
S35020594,4,4
S35020606,4,4
S35026387,7,7
S35512132,7,7
S37369761,12,12
S35461922,12,12
S35411796,8,8
S35169428,8,8
S37369774,8,8
S35019003,8,8
S37369729,12,12
S35038303,7,7
S35001010,3,3
S34998277,11,11
S34998295,6,6
S35100499,8,8
S35038279,8,8
S34972096,6,6
S35512092,4,4
S35018640,3,3
S35019381,4,4
S34972116,11,11
S35019724,12,12
S35492218,6,6
S34998331,7,7
S35038388,6,6
S35411897,7,7
S53465905,3,3
S35100507,10,10
S35026395,12,12
S35100560,12,12
S35196125,12,12
S35411819,6,6
S35196168,10,10
S35168015,8,8
S35026401,4,4
S35038309,4,4
S35526307,8,8
S34971701,6,6
S35038371,11,11
S37369756,8,8
S34998287,8,8
S34971441,7,7
S35226914,7,7
S37230828,12,12
S35396687,4,4
S35038377,6,6
S35019427,7,7
S37230850,7,7
S35196177,8,8
S35019402,12,12
S35508684,6,6
S35512119,12,12
S35038380,8,8
S37230824,4,4
S35411789,6,6
S35078313,8,8
S37369755,10,10
S34998283,6,6
S35019701,4,4
S34972085,8,8
S35038420,7,7
S35411781,11,11
S35020605,3,3
S37369717,6,6
S35061188,8,8
S35001733,5,5
S35038438,7,7
S35019702,12,12
S35026377,5,5
S37230813,5,5
S34948370,4,4
S35038429,4,4
S35512068,5,5
S35038314,5,5
S34998736,9,9
S37230823,12,12
S35019700,5,5
S35020515,5,5
S35026406,12,12
S34978832,9,9
S35038297,7,7
S35019378,12,12
S35000174,7,7
S35512086,12,12
S35019362,5,5
S34928275,7,7
S35038357,5,5
S35038310,12,12
S35038282,6,6
S35512061,6,6
S34971835,1,1
S35122903,9,9
S35038316,6,6
S35036867,6,6
S35411800,1,1
S35038287,3,3
S35036205,6,6
S35411786,7,7
S37369787,3,3
S34972103,7,7
S35020377,2,2
S35196187,4,4
S35018641,2,2
S35021936,1,1
S35038383,1,1
S35056147,6,6
S35020602,2,2
S35373051,4,4
S35058246,6,6
S35001648,6,6
S34971469,1,1
S35246216,9,9
S34998281,7,7
S35038374,7,7
S37369764,4,4
S53465894,2,2
S35487496,5,5
S35001265,2,2
S35019355,6,6
S35078340,5,5
S35487310,4,4
S35100480,4,4
S35038367,5,5
S35067490,5,5
S35040953,3,3
S35020615,5,5
S37369765,5,5
S35020519,6,6
S35001864,5,5
S35038353,6,6
S34978900,6,6
S35078335,4,4
S35067247,4,4
S35038330,2,2
S37230810,6,6
S34998290,1,1
S34998738,6,6
S37369768,6,6
S35020759,3,3
S37369754,4,4
S34981282,6,6
S35001030,2,2
S35058193,6,6
S35026367,6,6
S35514036,5,5
S35019688,6,6
S35078308,1,1
S35001759,1,1
S35038336,2,2
S35038435,3,3
S35514032,4,4
S35001221,2,2
S35020579,2,2
S35038358,1,1
S34943000,3,3
S35020566,2,2
S35001329,2,2
S35038426,1,1
S35038339,2,2
S35001366,2,2
S34948421,1,1
S35038428,1,1
S35020535,2,2
S34948868,1,1
S35020514,1,1
S35509689,4,4
S35038327,2,2
S35020518,1,1
S35001676,1,1
S35038354,1,1
S35411891,5,5
S35122908,7,7
S35246221,7,7
S34998292,8,8
S35038415,5,5
S34971795,8,8
S35196770,7,7
S37369749,7,7
S34998326,5,5
S34971461,5,5
S35038385,8,8
S35411806,8,8
S35038392,5,5
S34998333,5,5
S35038421,5,5
S35038390,4,4
S34998297,4,4
S34971684,4,4
S34947546,4,4
S34971679,5,5
S35038433,4,4
S35411833,5,5
S35411829,4,4
S34971400,5,5
S35411902,5,5
S34998300,5,5
S35303916,5,5
S35038294,5,5
S35078309,4,4
S35061600,5,5
S35078302,5,5
S35061078,4,4
S35061576,7,7
S35078317,7,7
S34999928,5,5
S35147314,5,5
S35461888,4,4
S35036902,4,4
S35508930,5,5
S35226917,7,7
S35127154,7,7
S37369745,7,7
S53465873,4,4
S35019517,4,4
S34999136,4,4
S35226910,5,5
S35038270,4,4
S37369715,5,5
S35036239,4,4
S35492284,5,5
S37231323,4,4
S35147323,7,7
S35127207,5,5
S35019371,4,4
S35019685,4,4
S37230819,4,4
S35026409,4,4
S35038311,4,4
S35512079,4,4
S35000039,4,4
S35038290,4,4
S34948324,2,2
S35493042,9,9
S37369724,5,5
S35512136,5,5
S38798787,9,9
S35270809,5,5
S35508680,9,9
S35067005,5,5
S35019519,5,5
S35493550,9,9
S37230837,5,5
S35226916,5,5
S35270732,5,5
S35461912,5,5
S35641861,9,9
S35038302,5,5
S35770353,3,3
S35036853,5,5
S35001095,2,2
S35038250,5,5
S35036211,5,5
S35038320,2,2
S35019934,5,5
S35020597,2,2
S35056153,5,5
S35058280,5,5
S35196543,7,7
S35169420,7,7
S37369771,5,5
S35641933,7,7
S35058196,5,5
S35158821,8,8
S35001711,2,2
S35411787,4,4
S34998282,4,4
S34972102,4,4
S35020516,2,2
S35038375,4,4
S35038356,2,2
S35226927,5,5
S35020411,1,1
S35038361,1,1
S34948357,2,2
S35001788,1,1
S35127183,5,5
S35147316,5,5
S35021885,2,2
S35020573,1,1
S35001278,1,1
S35001802,1,1
S35038331,1,1
S35020416,1,1
S35038363,1,1
S35067160,2,2
S35019359,3,3
S35038328,2,2
S35038315,3,3
S35026369,3,3
S35001234,2,2
S35512065,3,3
S35078333,2,2
S37369763,2,2
S35019687,3,3
S35020577,2,2
S37230811,3,3
S35018637,1,1
S35038334,1,1
S35020609,1,1
S35001838,1,1
S35038365,1,1
S35001318,1,1
S35020388,1,1
S35038325,1,1
S35020608,1,1
S53465932,1,1
S35000909,1,1
S35000936,1,1
S35001195,1,1
S35018646,1,1
S35001078,1,1
S35020600,1,1
S35018638,1,1
S35020556,1,1
S35020584,1,1
S35486810,2,2
S35038324,3,3
S35001183,3,3
S35020586,3,3
S35169422,3,3
S35153202,3,3
S35641939,3,3
S35148021,3,3
S35196549,3,3
S35038386,6,6
S34998293,6,6
S35411810,6,6
S35036864,3,3
S35196152,2,2
S34971710,6,6
S35100477,2,2
S35019785,3,3
S35038255,3,3
S35040178,3,3
S34948365,3,3
S35019689,6,6
S35019348,6,6
S35026368,6,6
S35512056,6,6
S35038317,6,6
S35019512,1,1
S35036904,1,1
S35036240,1,1
S37230809,6,6
S35038271,1,1
S35348801,2,2
S34948353,2,2
S35038430,2,2
S35020568,1,1
S35148006,3,3
S35038333,1,1
S35001304,1,1
S35641943,3,3
S35169423,3,3
S35196551,3,3
S53588792,3,3
S51041759,1,1
S53466012,2,2
S35323261,2,2
S35036238,2,2
S35019525,2,2
S35036900,2,2
S35038269,2,2
S35020166,1,1
S35038351,1,1
S35078277,1,1
S35001085,1,1
S35038319,1,1
S35001606,1,1
S35020598,1,1
S35020521,1,1
S35231077,21,21
S34952263,12,12
S34925365,12,12
S35461497,41,41
S34930036,18,18
S35601528,27,27
S35209792,28,28
S34952466,12,12
S35041958,35,35
S34927516,18,18
S35020922,12,12
S35233640,16,16
S34952379,11,11
S35020908,6,6
S34943543,12,12
S34950468,12,12
S34905993,10,10
S34909990,11,11
S34952451,10,10
S34909685,11,11
S35322381,12,12
S34943422,16,16
S34950460,12,12
S35247360,12,12
S35270939,22,22
S35020910,10,10
S34951513,12,12
S34952335,6,6
S34950476,16,16
S34929149,10,10
S35346726,16,16
S34952449,6,6
S34910753,11,11
S34952431,10,10
S35299475,22,22
S35020888,11,11
S34943791,12,12
S34952434,11,11
S34882882,18,18
S34906107,11,11
S34952383,10,10
S34952330,10,10
S34951519,12,12
S35227554,4,4
S34929102,6,6
S34951511,16,16
S35345640,16,16
S35020887,10,10
S35020509,9,9
S34952246,15,15
S35273506,17,17
S35146261,36,36
S34927515,13,13
S37716055,13,13
S34972405,9,9
S34907861,34,34
S34930092,9,9
S34925744,15,15
S34927462,13,13
S35149061,12,12
S34951635,13,13
S34930085,13,13
S37716070,12,12
S35486762,26,26
S34952425,14,14
S34943049,10,10
S35273739,13,13
S34972401,21,21
S35245641,38,38
S34948676,11,11
S34905543,14,14
S37716037,8,8
S34951504,10,10
S35020864,11,11
S35270136,8,8
S37716013,13,13
S35600365,8,8
S34882868,11,11
S34930098,13,13
S35432415,13,13
S40817396,9,9
S40817374,13,13
S34951628,7,7
S34951626,10,10
S35299484,17,17
S34951661,9,9
S34930073,10,10
S35020883,14,14
S37716036,13,13
S34952396,14,14
S34909992,8,8
S34948857,9,9
S35020869,9,9
S35020925,15,15
S34929468,29,29
S34952470,15,15
S34909679,8,8
S34927498,9,9
S34994598,13,13
S34927443,10,10
S34882878,13,13
S34927447,7,7
S34972421,11,11
S34951680,13,13
S34930075,7,7
S34910766,8,8
S35191314,13,13
S34950599,10,10
S35343217,35,35
S35020890,7,7
S35169369,41,41
S34948911,12,12
S34952435,7,7
S35020969,14,14
S35020867,9,9
S34906233,7,7
S35020616,14,14
S34972408,9,9
S34905288,10,10
S34951548,9,9
S34948759,9,9
S35020876,12,12
S34972397,12,12
S34952376,7,7
S34952423,10,10
S34952399,10,10
S34950279,9,9
S35299479,15,15
S35271413,15,15
S34945098,9,9
S59894795,12,12
S34896536,13,13
S34890569,13,13
S52880928,12,12
S35283087,18,18
S35273863,10,10
S35055068,16,16
S35122203,16,16
S34948250,12,12
S35205656,12,12
S35330114,18,18
S35483249,2,2
S34948417,7,7
S34948453,13,13
S35434240,22,22
S34909942,13,13
S35020874,16,16
S35486109,19,19
S34880912,21,21
S35469865,15,15
S35097400,23,23
S35145351,10,10
S35246884,21,21
S35145358,8,8
S35283101,25,25
S35020837,16,16
S35322371,10,10
S35020877,16,16
S35460510,13,13
S34890137,13,13
S35020968,16,16
S35211342,17,17
S37716046,12,12
S34952484,9,9
S35469746,8,8
S35020934,9,9
S35145359,9,9
S35460518,10,10
S35488161,5,5
S34952216,9,9
S37543984,5,5
S34930266,9,9
S34951521,21,21
S34944325,11,11
S35020924,10,10
S34950438,15,15
S34952255,10,10
S34950284,11,11
S34909688,12,12
S35363556,12,12
S53808211,21,21
S34952487,3,3
S34930338,3,3
S34952469,10,10
S34909981,11,11
S34930042,11,11
S34947360,15,15
S34952454,9,9
S35020912,9,9
S34949610,11,11
S34968586,13,13
S35145339,14,14
S35080956,13,13
S35124449,17,17
S34951547,11,11
S34951602,11,11
S34909989,12,12
S34927417,11,11
S34909762,11,11
S53808130,21,21
S35209980,24,24
S35149045,7,7
S34929800,10,10
S34910716,11,11
S34944237,15,15
S35443301,32,32
S35020938,3,3
S34910751,12,12
S34972131,11,11
S34952205,3,3
S34927601,9,9
S34882873,24,24
S37716061,7,7
S34951541,11,11
S34952317,9,9
S34929200,9,9
S34951525,15,15
S34951441,11,11
S37543982,21,21
S34950260,13,13
S35346033,8,8
S35460525,14,14
S35346773,8,8
S34951574,13,13
S35210004,5,5
S34945424,13,13
S35170209,7,7
S34968592,12,12
S34909111,18,18
S35486416,21,21
S35387240,15,15
S35299482,18,18
S37716051,4,4
S35272271,13,13
S37716050,4,4
S37716048,4,4
S35191310,4,4
S35020916,12,12
S34924091,12,12
S34952457,12,12
S34952284,12,12
S34972407,11,11
S35346779,11,11
S34951086,12,12
S35165499,7,7
S35037759,6,6
S34945678,12,12
S34948839,11,11
S34998245,9,9
S34952444,3,3
S34952476,9,9
S34948693,13,13
S35020923,12,12
S34948488,9,9
S34909982,13,13
S34952353,4,4
S34909799,8,8
S34910738,9,9
S35408965,10,10
S35411741,18,18
S35020638,10,10
S37716039,4,4
S34952465,12,12
S35020861,10,10
S34972423,9,9
S34945600,9,9
S34907124,6,6
S34952258,12,12
S34952237,8,8
S34936231,10,10
S35346728,7,7
S34945321,11,11
S34951503,20,20
S34910675,8,8
S34906348,6,6
S34950340,14,14
S34951578,9,9
S35020879,10,10
S34927424,11,11
S37716075,8,8
S34952269,12,12
S34950271,11,11
S34951632,8,8
S35346751,8,8
S34952235,9,9
S34952374,6,6
S34972403,8,8
S35039507,13,13
S34927451,8,8
S34952467,12,12
S35020919,11,11
S34951446,12,12
S34925845,10,10
S34948589,11,11
S34910672,9,9
S37716081,10,10
S37716080,10,10
S34952436,6,6
S35170590,10,10
S34910679,5,5
S35020917,11,11
S34952356,3,3
S34909980,4,4
S35273856,12,12
S34928940,4,4
S34950209,11,11
S34907324,3,3
S34948655,9,9
S37716010,10,10
S34948619,10,10
S34948578,10,10
S34909743,13,13
S34952369,12,12
S34930079,8,8
S34926113,9,9
S34948866,8,8
S34951575,11,11
S34972388,10,10
S34942592,12,12
S35120850,13,13
S35345695,18,18
S34909976,6,6
S34950205,9,9
S34926005,8,8
S34909780,4,4
S34927402,9,9
S34952242,10,10
S34883354,6,6
S35020875,10,10
S34972424,11,11
S34972447,10,10
S35020932,7,7
S34972410,8,8
S34951659,9,9
S34948928,10,10
S34910744,8,8
S34952474,8,8
S34948718,8,8
S34948634,11,11
S35460251,10,10
S35345793,8,8
S34948336,9,9
S35080631,10,10
S34952276,11,11
S34930033,7,7
S34930077,10,10
S35020868,11,11
S34948938,8,8
S35020855,9,9
S34924658,11,11
S34952460,11,11
S35020882,9,9
S34910740,9,9
S34884180,9,9
S34909722,6,6
S34952445,4,4
S34889922,9,9
S35020880,8,8
S35020927,8,8
S37716082,10,10
S40817397,9,9
S34909984,6,6
S35119175,8,8
S34909975,5,5
S35020892,12,12
S34909974,8,8
S35122200,6,6
S34972425,10,10
S34950273,10,10
S35482763,9,9
S34951542,15,15
S34950399,15,15
S34927460,8,8
S34909798,9,9
S35020921,12,12
S34927466,6,6
S35228367,12,12
S34952229,7,7
S34952472,10,10
S34952280,11,11
S34909972,9,9
S37716022,10,10
S34930038,6,6
S34930044,7,7
S34944506,15,15
S34951599,9,9
S34910695,6,6
S34951633,8,8
S35320397,18,18
S34972399,10,10
S34944862,14,14
S34951570,10,10
S34972380,8,8
S34910713,4,4
S35053949,12,12
S37716073,13,13
S35020891,6,6
S34951653,6,6
S34909987,8,8
S35245239,4,4
S34948903,10,10
S35020920,11,11
S34909707,8,8
S34906455,12,12
S34951612,11,11
S34952481,7,7
S34927463,6,6
S34929749,12,12
S35322365,12,12
S34910721,13,13
S34972400,11,11
S34969797,9,9
S35345738,7,7
S35020865,13,13
S34945517,11,11
S34952271,11,11
S34951544,14,14
S35020863,9,9
S34942926,20,20
S34910733,6,6
S34930064,11,11
S35020858,11,11
S34952443,6,6
S35464348,13,13
S34951572,11,11
S34930088,9,9
S34972446,11,11
S34972449,9,9
S34909985,9,9
S34930101,9,9
S34909805,5,5
S34951630,10,10
S35020926,10,10
S34950611,20,20
S34951501,12,12
S35268192,12,12
S35020862,11,11
S35020928,9,9
S34924364,11,11
S40817394,10,10
S34952462,11,11
S34927483,9,9
S34924289,7,7
S34945229,10,10
S34924229,11,11
S37716008,13,13
S35020866,8,8
S35020901,4,4
S34948880,11,11
S34909709,9,9
S34909712,9,9
S34927449,10,10
S34952437,12,12
S35346118,11,11
S35122201,12,12
S34924794,12,12
S34972411,13,13
S35020857,10,10
S35020870,8,8
S35020873,11,11
S34930086,6,6
S35020898,6,6
S34882938,10,10
S34951641,6,6
S34930083,8,8
S34909966,9,9
S34952464,11,11
S34951597,12,12
S37716009,10,10
S37716074,13,13
S34952360,6,6
S34927390,7,7
S34909813,6,6
S34909986,9,9
S35020900,3,3
S34922957,9,9
S34952332,7,7
S34923919,10,10
S35020914,10,10
S34952448,6,6
S34952286,10,10
S34929128,7,7
S35020909,7,7
S35020906,6,6
S34952338,6,6
S34952450,7,7
S34907847,6,6
S34952456,10,10
S34951507,14,14
S34943255,14,14
S34950515,14,14
S34909789,2,2
S34909978,2,2
S34910705,2,2
S34905861,13,13
S35020886,13,13
S34952428,13,13
S34952385,13,13
S34909693,4,4
S34922958,8,8
S37716033,4,4
S34948415,3,3
S34929176,9,9
S34969765,3,3
S34952452,9,9
S37716030,7,7
S37716032,4,4
S35386875,7,7
S35407223,6,6
S34909962,8,8
S37716024,6,6
S34909988,4,4
S34909977,3,3
S37716012,6,6
S35435211,6,6
S37716031,4,4
S34971098,3,3
S34910749,4,4
S34910701,3,3
S35020911,9,9
S34952320,9,9
S35321826,4,4
S35365973,4,4
S35055060,4,4
S34909796,3,3
S35145370,9,9
S35321814,5,5
S35020929,4,4
S34952485,5,5
S34952478,4,4
S34952221,9,9
S34952233,4,4
S34952482,9,9
S35020936,5,5
S34926206,4,4
S34930212,9,9
S34952212,5,5
S34930294,5,5
S35020933,9,9
S35145363,10,10
S35528480,10,10
S35460661,18,18
S34972389,11,11
S35020878,11,11
S34948919,11,11
S34952388,9,9
S34905709,9,9
S35020885,9,9
S34952427,9,9
S35020931,2,2
S34952231,2,2
S34952479,2,2
S34929872,2,2
S34927508,4,4
S37716068,8,8
S34910760,12,12
S37716067,8,8
S34909681,12,12
S35148940,8,8
S34930095,4,4
S34909991,12,12
S34951666,4,4
S34927420,7,7
S34951605,7,7
S34930061,7,7
S34909751,8,8
S34910729,8,8
S34909983,8,8
S37716084,10,10
S37716083,10,10
S37844958,10,10
S34909973,8,8
S34910723,8,8
S35055729,10,10
S34909740,8,8
S34972402,7,7
S34948871,7,7
S35020871,7,7
S35020895,5,5
S34952441,5,5
S34952363,5,5
S34906576,5,5
S35431909,3,3
S34927437,8,8
S34930070,8,8
S34951623,8,8
S34907289,6,6
S35017478,5,5
S34927431,8,8
S34906861,4,4
S34930067,8,8
S34951621,8,8
S35035548,4,4
S34909167,7,7
S34907690,5,5
S34952342,5,5
S34952446,5,5
S35020902,5,5
S34930090,6,6
S34951660,6,6
S34927488,6,6
S34930071,6,6
S34951624,6,6
S34927438,6,6
S34972499,2,2
S37716040,5,5
S37716042,5,5
S35209018,5,5
S37716077,3,3
S35119174,3,3
S34909868,4,4
S35263420,5,5
S35446375,17,17
S35246809,8,8
S35057506,9,9
S35507728,29,29
S35488171,29,29
S35486709,29,29
S35486452,36,36
S35486673,36,36
S40485487,2,2
S35246961,15,15
S35509442,25,25
S35486267,42,42
S34972139,6,6
S35509444,13,13
S35463227,19,19
S40485506,4,4
S35039546,8,8
S35464829,3,3
S35509439,6,6
S35487338,23,23
S35271123,21,21
S35080059,16,16
S35271176,20,20
S48797852,3,3
S35486675,28,28
S35486588,28,28
S35512854,21,21
S35249533,8,8
S40485461,6,6
S35509422,4,4
S35509432,5,5
S35463231,2,2
S35509417,6,6
S35247203,14,14
S35509592,5,5
S35600516,7,7
S35342127,10,10
S35495160,7,7
S35408376,9,9
S35276805,10,10
S35297810,7,7
S35530755,8,8
S35530700,11,11
S35530619,8,8
S35512629,5,5
S35509434,5,5
S35530610,7,7
S35509415,3,3
S34972118,5,5
S35530671,1,1
S35342356,1,1
S35465067,1,1
S35152326,10,10
S35395877,3,3
S35274465,27,27
S35247487,4,4
S35080595,5,5
S35247052,4,4
S49298104,46,46
S36250434,16,16
S36251416,16,16
S36252069,16,16
S36087129,6,6
S35912720,6,6
S35912737,5,5
S41891043,16,16
S40295413,5,5
S36538965,14,14
S36538960,8,8
S36538935,7,7
S35891565,8,8
S35914487,14,14
S35891553,7,7
S35912746,4,4
S36538972,8,8
S35914364,8,8
S36230534,3,3
S36300610,6,6
S35891503,6,6
S36538995,2,2
S35894428,2,2
S35891535,1,1
S35891515,2,2
S36260238,1,1
S36233835,22,22
S36585161,13,13
S36258385,22,22
S36645852,13,13
S36420267,13,13
S36234052,22,22
S36152027,13,13
S36250471,7,7
S36233245,7,7
S36300555,25,25
S36250234,21,21
S35788230,24,24
S35897089,33,33
S36304531,21,21
S36387987,21,21
S35894764,25,25
S35891629,25,25
S36538973,21,21
S36251406,7,7
S36413293,16,16
S36260188,21,21
S35891661,21,21
S36538990,25,25
S35939139,32,32
S36173440,36,36
S36252070,7,7
S35977930,30,30
S36587457,36,36
S36232106,29,29
S36231305,21,21
S36538870,11,11
S35972382,11,11
S35736660,30,30
S50851954,18,18
S36503445,5,5
S36381195,6,6
S36503496,10,10
S36530363,6,6
S36188057,22,22
S36530381,5,5
S36116487,22,22
S36538858,4,4
S36530425,5,5
S36002640,4,4
S36145792,33,33
S35979367,4,4
S36144503,22,22
S36112254,6,6
S36256798,28,28
S36421348,3,3
S36144588,25,25
S36381156,14,14
S36116981,25,25
S35816359,12,12
S36530469,7,7
S35816342,12,12
S35600031,22,22
S35705786,9,9
S35705785,9,9
S36221204,9,9
S35705784,9,9
S35703793,9,9
S35848203,20,20
S35599805,12,12
S36538862,16,16
S36244737,14,14
S35975330,16,16
S36232107,29,29
S35972245,6,6
S36230271,14,14
S36219793,5,5
S36538867,6,6
S36278849,5,5
S35705791,12,12
S35705792,12,12
S35705793,12,12
S36230040,10,10
S35703798,12,12
S36230349,11,11
S35893707,7,7
S36538950,7,7
S36300534,7,7
S35914549,7,7
S36530612,5,5
S36146191,7,7
S35912826,3,3
S35912892,6,6
S36221005,7,7
S36300559,2,2
S36421236,6,6
S36538874,1,1
S35972431,1,1
S35891584,2,2
S35705771,8,8
S35705769,8,8
S35703628,8,8
S35705770,8,8
S35818019,12,12
S35946310,19,19
S36538887,19,19
S36503405,6,6
S36538899,3,3
S40971200,8,8
S36113434,8,8
S35944354,3,3
S35703746,9,9
S35705783,9,9
S35705779,9,9
S35705781,9,9
S36413318,2,2
S36421074,2,2
S35972205,5,5
S35604933,9,9
S36538894,5,5
S36145330,6,6
S36538901,3,3
S35944262,3,3
S36381208,4,4
S36229677,2,2
S36230425,2,2
S36002731,2,2
S35972230,3,3
S36538877,3,3
S36220329,6,6
S36002564,4,4
S36538997,1,1
S35894507,1,1
S35705777,4,4
S35705778,4,4
S35703664,4,4
S35705776,4,4
S35972221,3,3
S36538882,3,3
S36233437,3,3
S36233471,3,3
S36220763,5,5
S36249413,1,1
S36191838,2,2
S42409519,2,2
S35912898,2,2
S36192384,2,2
S36398419,41,41
S36398009,41,41
S36381246,34,34
S55550627,3,3
S36446732,13,13
S78046923,1,1
S35889814,27,27
S35890206,27,27
S35838687,25,25
S35891973,22,22
S36160629,22,22
S35741098,5,5
S35717710,6,6
S35890224,22,22
S35717525,5,5
S36088674,6,6
S35741096,6,6
S36086958,6,6
S35717915,6,6
S35741095,6,6
S35772836,25,25
S35759233,25,25
S41040377,10,10
S35717622,5,5
S35741097,5,5
S35890207,1,1
S35944186,30,30
S35972715,30,30
S35684063,32,32
S35972377,28,28
S35970029,21,21
S35658950,23,23
S35971964,21,21
S36190165,21,21
S35977084,21,21
S35847657,7,7
S36132174,16,16
S36162939,11,11
S36224268,17,17
S35753341,10,10
S36779894,21,21
S35753339,10,10
S36161413,6,6
S35804619,18,18
S36779727,21,21
S36131064,15,15
S36414793,9,9
S35753330,26,26
S36161326,6,6
S35897419,35,35
S36413620,21,21
S36474716,12,12
S35753327,26,26
