sampling_event_identifier,nSp,totSoiSeen
S17491783,2,2
S51013126,2,2
S51013000,3,3
S51013160,2,2
S17512149,1,1
S17472986,1,1
S58272949,23,23
S18234039,26,26
S18232290,26,26
S18233903,26,26
S18233088,17,17
S18233002,22,22
S18120968,13,13
S18098061,15,15
S18077555,12,12
S18232869,30,30
S17899766,13,13
S18299867,7,7
S17955642,13,13
S68296915,6,6
S21075431,20,20
S29120102,9,9
S58273477,12,12
S18296457,5,5
S18159531,5,5
S18051536,15,15
S18051563,11,11
S17899761,6,6
S18051537,10,10
S17955643,11,11
S21075770,13,13
S17899763,11,11
S17836777,9,9
S17849400,8,8
S17899767,9,9
S17955641,7,7
S17955638,7,7
S18150658,9,9
S18150242,5,5
S18150360,7,7
S73134795,4,4
S18150768,9,9
S18280542,8,8
S18190043,8,8
S18077557,13,13
S18098054,10,10
S18150548,4,4
S18176766,6,6
S17836778,5,5
S17824460,5,5
S25029249,18,18
S21027418,18,18
S31984793,16,16
S17884030,13,13
S17938251,27,27
S17940165,31,31
S18281226,5,5
S18281948,5,5
S18280931,9,9
S18281880,5,5
S18281585,7,7
S18281428,7,7
S18281715,8,8
S18281662,5,5
S18282006,6,6
S18281303,7,7
S18311921,3,3
S18282159,6,6
S18311910,5,5
S18311934,6,6
S18311975,11,11
S18280886,9,9
S18311915,6,6
S18281008,4,4
S18281773,4,4
S18281184,7,7
S18311925,2,2
S18281365,5,5
S18281137,7,7
S18311890,5,5
S18281081,7,7
S18282368,2,2
S18311987,4,4
S18282279,2,2
S18311850,2,2
S18312011,1,1
S18265618,2,2
S18265365,1,1
S18265186,1,1
S21778730,12,12
S21754356,12,12
S21754335,12,12
S17705117,24,24
S17750932,13,13
S17811673,30,30
S21778701,25,25
S17750802,22,22
S17734425,15,15
S17734673,17,17
S17734461,15,15
S21754367,4,4
S18102569,20,20
S27643035,15,15
S18102026,14,14
S17884088,19,19
S17883988,9,9
S17902335,19,19
S18118115,6,6
S17850567,15,15
S17812307,7,7
S18133641,13,13
S17902579,19,19
S17904550,19,19
S18101649,15,15
S18146369,7,7
S17885985,7,7
S17930110,6,6
S17902480,11,11
S17915026,7,7
S17813357,3,3
S17824765,4,4
S17850733,10,10
S18083509,7,7
S24762791,9,9
S18247236,8,8
S17939577,9,9
S17735119,4,4
S18102258,6,6
S18133332,8,8
S17824790,5,5
S17813119,3,3
S17850455,2,2
S17824293,2,2
S28806661,31,31
S33581912,13,13
S18118932,13,13
S18039310,30,30
S17849652,17,17
S51254336,6,6
S51254208,7,7
S35234934,8,8
S18054032,17,17
S18079793,17,17
S27643021,19,19
S51250909,4,4
S33242508,1,1
S51253965,3,3
S51251532,5,5
S51253779,11,11
S51251319,6,6
S51253497,3,3
S51243172,8,8
S51250568,7,7
S51254077,2,2
S51249117,2,2
S51253310,3,3
S51249711,1,1
S21067943,3,3
S17691225,1,1
S51251164,3,3
S51243130,2,2
S17899971,1,1
S18480445,40,40
S18685499,12,12
S18176110,3,3
S18502643,40,40
S18176774,11,11
S18176764,11,11
S18176243,5,5
S18491789,15,15
S18684388,11,11
S18176196,5,5
S18439536,8,8
S18439698,12,12
S18673234,8,8
S18685390,8,8
S18685343,7,7
S18439376,6,6
S18684216,3,3
S18673314,1,1
S18518538,11,11
S31988144,8,8
S18413628,10,10
S29945120,19,19
S18346248,13,13
S18161274,16,16
S18230775,12,12
S18233312,28,28
S18233578,24,24
S18210679,13,13
S18231149,15,15
S18233503,28,28
S18355859,17,17
S18161426,13,13
S18630711,40,40
S18564910,40,40
S18564488,40,40
S18299930,12,12
S27774544,10,10
S31414575,29,29
S18352030,10,10
S27278237,7,7
S18355702,16,16
S18263954,14,14
S18234081,11,11
S18159825,17,17
S18192794,6,6
S18159859,17,17
S18263720,5,5
S18175293,6,6
