scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.type
Dicrurus leucophaeus,Temperature seasonality,-1.169735729,0.426304116,Passeriformes,Ashy Drongo,ashdro1,Forest
Dicrurus leucophaeus,Grasslands,-2.198664893,0.753970407,Passeriformes,Ashy Drongo,ashdro1,Forest
Loriculus vernalis,Precipitation seasonality,2.328208552,0.605252935,Psittaciformes,Vernal Hanging-Parrot,vehpar1,Forest
Loriculus vernalis,Temperature seasonality,-4.771299023,0.486595603,Psittaciformes,Vernal Hanging-Parrot,vehpar1,Forest
Loriculus vernalis,Evergreen forests,3.886113923,1.192415413,Psittaciformes,Vernal Hanging-Parrot,vehpar1,Forest
Pycnonotus luteolus,Precipitation seasonality,-3.617083154,0.750780714,Passeriformes,White-browed Bulbul,whbbul2,Forest
Pycnonotus luteolus,Temperature seasonality,4.046687131,0.645533357,Passeriformes,White-browed Bulbul,whbbul2,Forest
Aegithina tiphia,Temperature seasonality,-3.055953685,0.512313879,Passeriformes,Common Iora,comior1,Forest
Aegithina tiphia,Water bodies,13.11606114,5.376337849,Passeriformes,Common Iora,comior1,Forest
Passer domesticus,Precipitation seasonality,-1.67637003,0.598163233,Passeriformes,House Sparrow,houspa,Forest
Passer domesticus,Temperature seasonality,3.209554582,0.622744087,Passeriformes,House Sparrow,houspa,Forest
Saxicola caprata,Precipitation seasonality,4.003995618,1.013886788,Passeriformes,Pied Bushchat,piebus1,Forest
Saxicola caprata,Temperature seasonality,13.79620416,1.49074128,Passeriformes,Pied Bushchat,piebus1,Forest
Saxicola caprata,Deciduous forests,-3.801200173,1.23448323,Passeriformes,Pied Bushchat,piebus1,Forest
Motacilla maderaspatensis,Water bodies,6.59054153,1.728321794,Passeriformes,White-browed wagtail,,Forest
Psilopogon haemacephalus,Precipitation seasonality,-2.705649165,0.573006883,Piciformes,Coppersmith Barbet,copbar1,Forest
Psilopogon haemacephalus,Temperature seasonality,-1.280049583,0.360396858,Piciformes,Coppersmith Barbet,copbar1,Forest
Psilopogon haemacephalus,Evergreen forests,-2.507433934,1.226148276,Piciformes,Coppersmith Barbet,copbar1,Forest
Psilopogon haemacephalus,Plantations,-3.419163602,1.337051551,Piciformes,Coppersmith Barbet,copbar1,Forest
Acridotheres fuscus,Temperature seasonality,2.967449318,0.446729077,Passeriformes,Jungle Myna,junmyn1,Forest
Acridotheres fuscus,Plantations,17.0742899,2.982841369,Passeriformes,Jungle Myna,junmyn1,Forest
