scientific_name,predictor,coefficient,se
Artamus fuscus,lc_09,5.9633608433706,2.01001116468897
Zosterops palpebrosus,bio15a,4.79269638960128,1.0773384562433
Zosterops palpebrosus,bio4a,18.1754151227054,1.77866660689349
Hierococcyx varius,bio4a,-2.41088833794852,0.545034182454934
Terpsiphone paradisi,bio4a,-2.84226578942422,0.569934609119098
Terpsiphone paradisi,lc_07,-1.97471181667159,1.00589754352095
Cinnyris lotenius,bio4a,-4.6332316542511,0.810471681029199
Cinnyris lotenius,lc_02,2.50373837255593,0.424100239644601
Cinnyris lotenius,lc_04,1.85131632230831,0.454579119163066
Dicrurus leucophaeus,bio4a,-1.2051880618172,0.48971259149262
Dicrurus leucophaeus,lc_01,1.3545369999842,0.526239521112658
Dicrurus leucophaeus,lc_05,-2.11435652482289,0.650440972534099
Loriculus vernalis,bio4a,-6.07662658468843,0.624689302910365
Loriculus vernalis,lc_01,5.17599997568918,0.732942579396312
Loriculus vernalis,lc_02,2.12814995246819,0.514087705000235
Pycnonotus luteolus,bio15a,-3.42518242781465,0.802900957783832
Pycnonotus luteolus,bio4a,3.79783051830985,0.735566923247333
Aegithina tiphia,bio4a,-4.06464120133217,0.661986576881815
Aegithina tiphia,lc_02,1.59226264240315,0.333826197659552
Aegithina tiphia,lc_03,3.5269576686882,1.72673178912046
Aegithina tiphia,lc_09,16.4650862223866,4.32232629528716
Copsychus fulicatus,bio4a,9.13691753197517,1.46825876669183
Copsychus fulicatus,lc_01,-9.9167328247821,2.09074497831045
Copsychus fulicatus,lc_03,4.99320288459082,2.45901890786232
Copsychus fulicatus,lc_07,-3.85239518090652,1.12674512586971
Oriolus xanthornus,bio15a,-2.14485075406006,0.910399448956928
Oriolus xanthornus,bio4a,-7.9894256429841,0.763522680686861
Oriolus xanthornus,lc_01,-4.10938675925093,0.825458743824898
Oriolus xanthornus,lc_07,-1.86403713706159,0.919686406294631
Oriolus kundoo,bio15a,1.82532589251402,0.789684512196329
Oriolus kundoo,bio4a,-5.19866329640676,0.676145796591933
Oriolus kundoo,lc_05,-1.829400863124,0.901115260450289
Passer domesticus,bio4a,8.67367359632449,2.13434474780007
Saxicola caprata,bio15a,4.6266330179927,1.17265894906993
Saxicola caprata,bio4a,14.9355328942402,1.63592684869008
Saxicola caprata,lc_02,-3.42791929524035,0.800294669684042
Saxicola caprata,lc_07,3.48640732809216,1.18474783711954
Motacilla maderaspatensis,lc_09,8.25806967140675,2.25570595083914
Psilopogon haemacephalus,bio15a,-2.71340472394326,0.624625971952215
Psilopogon haemacephalus,bio4a,-1.23459269378209,0.425455175777245
Psilopogon haemacephalus,lc_01,-2.51702351469801,0.328126813022133
Psilopogon haemacephalus,lc_05,-1.81328919817644,0.436141077301073
Psilopogon haemacephalus,lc_07,-3.58717289683233,0.523534710661849
Dicrurus paradiseus,bio15a,1.81017860613878,0.811721108723299
Dicrurus paradiseus,bio4a,-12.5596979751845,1.14519538415881
Cypsiurus balasiensis,bio15a,-2.61250328783472,0.879432835799482
Cypsiurus balasiensis,lc_04,1.86993597350868,0.828467714055423
Acridotheres fuscus,bio4a,3.65696025767757,0.561197350993214
Acridotheres fuscus,lc_07,15.5538258674403,1.7151252253534
Pavo cristatus,bio15a,-2.78282672303707,0.706566462535204
Pavo cristatus,bio4a,1.83425406544685,0.512167517773644
Pavo cristatus,lc_05,-2.66703910022515,0.889210863894483
Acrocephalus dumetorum,lc_01,4.8536069300074,1.37033449882901
Acrocephalus dumetorum,lc_05,-2.03069096711726,0.910557501005159
Dinopium benghalense,bio4a,-4.3340669150606,0.579317861189571
Dinopium benghalense,lc_05,-1.23042473816075,0.593253583103903
Cinnyris asiaticus,bio4a,1.05373869170586,0.438575139277624
Merops orientalis,lc_01,-4.97167173117095,1.14584268950066
Merops orientalis,lc_07,-2.80464375466983,1.04164056765375
Prinia socialis,bio4a,2.74654336122785,0.862564891032051
Prinia socialis,lc_07,3.47627074695001,1.06379181144692
Prinia socialis,lc_09,-12.7712948247466,5.92056796510352
Dendrocitta vagabunda,bio15a,2.33914240934309,0.818868454577299
Dendrocitta vagabunda,bio4a,-6.41301286583913,0.675834316830091
Dendrocitta vagabunda,lc_01,-5.9554142263121,1.11805382907227
Dendrocitta vagabunda,lc_07,-3.14036391437576,1.05151840504652
Streptopelia chinensis,lc_05,-1.72192268188386,0.390888212043236
Streptopelia chinensis,lc_07,10.1954175193481,1.63761778250935
Copsychus saularis,lc_07,10.1192885576119,1.49957829543138
Pycnonotus cafer,bio15a,-1.57358292974717,0.632629108168787
Pycnonotus cafer,bio4a,1.62841298861438,0.546201577557916
Centropus sinensis,bio4a,-2.19723966016169,0.59794334941349
Centropus sinensis,lc_05,-1.99887991900343,0.679970963247995
Leptocoma zeylonica,bio4a,-2.57701162459639,0.499692624525347
Leptocoma zeylonica,lc_09,9.53353087753852,4.28049999872192
Pycnonotus jocosus,bio4a,-1.10378698771704,0.522985634088084
Pycnonotus jocosus,lc_01,0.872021241019814,0.380843450682255
Pycnonotus jocosus,lc_04,-2.05650095105077,0.260030851988317
Pycnonotus jocosus,lc_07,22.9982662960282,5.98557901721637
Psittacula krameri,bio15a,2.73550291947267,0.866235587691216
Psittacula krameri,lc_03,5.05738599222255,1.60744162444471
Psittacula krameri,lc_04,3.05747358464942,0.713363429270424
Dicrurus macrocercus,bio4a,-1.92665466504211,0.50990639246266
Halcyon smyrnensis,bio15a,1.95024309837232,0.675475223356895
Halcyon smyrnensis,bio4a,-2.12772143214547,0.476335599287546
Halcyon smyrnensis,lc_05,-1.84628814162035,0.557796770928526
Halcyon smyrnensis,lc_09,9.31734011858793,2.80501468521609
Psilopogon viridis,bio4a,-6.16687554090088,0.585965021752646
Psilopogon viridis,lc_01,6.69516707302453,1.1590612360381
Psilopogon viridis,lc_02,2.31912948742726,0.62152755612505906
Columba livia,bio15a,1.94586483789653,0.823057418961267
Corvus macrorhynchos,bio15a,7.28443002735618,0.841873569196442
Corvus macrorhynchos,bio4a,6.70117854462168,0.914697220821625
Corvus macrorhynchos,lc_01,0.706403874892279,0.309507380212742
Corvus macrorhynchos,lc_04,1.24407385304938,0.333995924627214
Corvus macrorhynchos,lc_07,3.75625040512028,0.64138156732302
Corvus macrorhynchos,lc_09,5.50413392055302,1.46653562156936
Acridotheres tristis,lc_01,-6.4103527491227,0.708329981793518
Acridotheres tristis,lc_02,-2.2352808669775,0.629092496967465
Acridotheres tristis,lc_05,-3.25658606157236,0.708744799597506
Acridotheres tristis,lc_07,-4.98680264555943,0.756524481106761
Corvus splendens,bio15a,1.61417859218897,0.633227018384467
Corvus splendens,bio4a,1.65169653604488,0.496319272748195
Corvus splendens,lc_01,-2.17845559093162,0.906618504470591
Corvus splendens,lc_04,2.82663182351386,1.00002252596852
