scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Treron affinis,bio_12,6.90800811962142,2.24779412607837,Columbiformes,Gray-fronted Green-Pigeon,pomgrp2,FOR,Forest,forest bird,35.56857414,234,2.369215857,Herbivore,Frugivore,Not a Migrant,1,resident,NA
Treron affinis,lc_01,2.94611422546885,1.25793861878064,Columbiformes,Gray-fronted Green-Pigeon,pomgrp2,FOR,Forest,forest bird,35.56857414,234,2.369215857,Herbivore,Frugivore,Not a Migrant,1,resident,NA
Sitta frontalis,bio_12,5.02132029376069,1.67489960050572,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Sitta frontalis,Ibio_12^2,-3.71568466117416,1.49570916381311,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Sitta frontalis,lc_01,2.92144587028549,0.717883557465139,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Irena puella,bio_1,24.6439277956843,4.39449842437501,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Irena puella,Ibio_1^2,-15.3755896065867,3.30288669859188,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Irena puella,bio_12,9.71752576908032,1.85141348868492,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Irena puella,Ibio_12^2,-7.04032312862926,1.60848241950559,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Irena puella,lc_01,4.53811117794888,1.97074193323252,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
