predictor,mean_AIC,sd_AIC,min_AIC,max_AIC,med_AIC
bio_1,0.9157916182679772,0.2454740056689228,0.127162078465746,1,1
bio_12,0.8661737162447435,0.2726528138801355,0.159464114789207,1,1
lc_01,0.7654702180886966,0.2503042884530632,0.100654975306956,1,0.872146304253338
lc_02,0.6345784275247514,0.2108646362262354,0.193397554404018,1,0.650845843443648
lc_03,0.5258849855216665,0.26245159061272816,0.126165264606947,0.980803456924853,0.473524817682186
lc_04,0.6578802742225859,0.23455061048783224,0.129780505554864,1,0.666907421519073
lc_05,0.6267241405802808,0.23709197635575002,0.210931118789416,1,0.594495864603473
lc_07,0.7058991168085377,0.2324913926845869,0.204348259827809,1,0.74999342548649
lc_09,0.5093945282317657,0.2508669947013915,0.164545618026968,1,0.430348432841028
